id,id_usuario,id_universidad,id_grado_academico,titulo_profesional,especialidad,fecha_emision,resolucion,fecha_resolucion,flag_resolucion_nulidad,nro_resolucion_nulidad,fecha_resolucion_nulidad,id_tipo_obtencion
617,174,1,3,MAGISTER SICENTIAE EN AUDITORIA Y TRIBUTACION,-,2004-11-12,269-2004-R-UNA,,,,,2
618,175,1,3,MAGISTER SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,MENCION: AUDITORIA Y TRIBUTACION,2010-04-05,0653-2010-R-UNA,,,,,2
619,175,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1996-10-25,1580-96-R-UNA,,,,,2
620,175,1,2,CONTADOR PUBLICO,-,1999-05-21,805-1999-R-UNA,,,,,2
621,175,1,4,Doctor en Contabilidad y Finanzas,-,2023-09-14,2398-2023-R-UNA,,,,,2
622,177,1,3,MAGISTER SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,MENCION: ADMINISTRACION Y FINANZAS,2008-02-15,0227-2008-R-UNA,,,,,2
623,177,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1987-01-23,90-87-R-UNA,,,,,2
624,177,1,2,CONTADOR PUBLICO,-,1992-02-07,187-92-R-UNA,,,,,2
625,177,1,4,Doctor en Contabilidad y Finanzas,-,2021-10-11,1860-2021-R-UNA,,,,,2
626,176,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1990-12-07,1438-90-R-UNA,,,,,2
627,176,1,2,CONTADOR PUBLICO,-,1995-06-23,792-95-R-UNA,,,,,2
628,176,19,2,ABOGADO,-,2016-01-08,556-2015-UANCV-CU-R,,,,,2
769,207,48,3,MAGISTER EN GERENCIA SOCIAL Y RECURSOS HUMANOS,-,2011-01-27,4333-CU-2011,,,,,2
629,176,1,3,MAGISTER SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,ADMINISTRACION Y FINANZAS,2015-01-30,0245-2015-R-UNA,,,,,2
630,176,19,1,BACHILLER EN DERECHO,-,2009-05-29,094-09-CU-R-UANCV,,,,,2
631,176,1,4,Doctoris Scientiae en Contabilidad y Administración,-,2024-12-10,3488-2024-R-UNA,,,,,2
632,173,1,5,SEGUNDA ESPECIALIZACION EN: DIDACTICA UNIVERSITARIA,-,2015-08-11,2359-2015-R-UNA,,,,,2
633,173,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1999-12-29,2076-99-R-UNA,,,,,2
634,173,1,3,MAGISTER SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,CON MENCION EN: AUDITORIA Y TRIBUTACION,2015-08-11,2358-2015-R-UNA,,,,,2
635,173,1,4,Doctoris Scientiae en: Contabilidad y Administración,-,2017-04-26,1266-2017-R-UNA,,,,,2
636,173,1,2,CONTADOR PUBLICO,-,2003-02-13,0286-2003-R-UNA,,,,,2
637,173,50,3,TÍTULO OFICIAL DE MÁSTER UNIVERSITARIO EN DESARROLLO ECONÓMICO Y POLÍTICAS PÚBLICAS,-,2018-09-24,RESOLUCIÓN Nº 9127-2019-SUNEDU-02-15-02,,,,,2
638,178,22,3,MAGISTER EN CONTABILIDAD,POLITICA Y ADMINISTRACION TRIBUTARIA,2007-06-21,02269-R-2007,,,,,2
639,178,13,4,DOCTOR EN ADMINISTRACION,-,2009-03-24,5663-2009-R-UAP,,,,,2
640,178,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1982-09-24,-,,,,,2
641,178,1,2,CONTADOR PUBLICO,-,1986-12-31,1686-86-R-UNA,,,,,2
642,179,1,2,CONTADOR PUBLICO,-,1976-07-16,-,,,,,2
643,179,1,1,BACHILLER EN CIENCIA CONTABLES,-,1975-12-09,-,,,,,2
644,179,1,4,DOCTORIS SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,-,2012-10-25,2448-2012-R-UNA,,,,,2
645,181,1,2,CONTADOR PUBLICO,-,1985-01-25,067-85-R-UNA,,,,,2
646,181,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1981-04-10,-,,,,,2
647,181,1,3,MAGISTER SCIENTIAE EN AUDITORIA Y TRIBUTACION,-,2011-03-18,0515-2011-R-UNA,,,,,2
648,181,19,4,DOCTOR EN ADMINISTRACION,-,2012-12-07,300-12-CU-R-UANCV.,,,,,2
649,181,10,5,SEGUNDA ESPECIALIDAD EN GERENCIA TRIBUTARIA,-,2010-01-29,RCU 027-2010,,,,,2
650,180,1,3,MAGISTER SCIENTIAE EN DESARROLLO RURAL,-,2011-03-25,0612-2011-R-UNA,,,,,2
651,180,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1974-01-11,-,,,,,2
652,180,1,2,CONTADOR PUBLICO,-,1980-09-01,-,,,,,2
653,180,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2015-11-26,3474-2015-R-UNA,,,,,2
654,182,22,3,MAGISTER EN CONTABILIDAD,TRIBUTACION,2002-11-25,07012-R-02,,,,,2
655,182,22,3,MAGISTER EN CONTABILIDAD CON MENCION EN TRIBUTACION,-,2002-11-25,07012-R-02,,,,,2
656,182,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1975-12-05,SR,,,,,2
657,182,1,2,CONTADOR PÚBLICO,-,1977-05-20,SR,,,,,2
658,182,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2016-05-10,1382-2016-R-UNA,,,,,2
659,184,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1977-10-25,-,,,,,2
660,184,1,2,CONTADOR PUBLICO,-,1983-03-18,-,,,,,2
661,184,1,4,DOCTORIS SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,-,2013-10-24,3181-2013-R-UNA,,,,,2
662,184,1,3,MAGISTER SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,ADMINISTRACION Y FINANZAS,2006-09-29,2004-2006-R-UNA,,,,,2
663,185,1,3,MAGISTER SCIENTIAE,AUDITORIA Y TRIBUTACION,2003-01-24,0121-2003-R-UNA,,,,,2
664,185,1,2,CONTADOR PUBLICO,-,1981-12-22,-,,,,,2
665,185,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1981-01-02,-,,,,,2
666,185,18,4,DOCTOR EN ADMINISTRACION,-,2010-10-21,12317,,,,,2
667,186,22,3,MAGISTER EN ADMINISTRACION CON MENCION EN GESTION EMPRESARIA,-,2011-03-01,00197-R-11,,,,,2
668,186,1,4,DOCTORIS SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,-,2012-06-15,1289-2012-R-UNA,,,,,2
669,186,1,2,CONTADOR PUBLICO,-,1981-08-14,-,,,,,2
670,186,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1978-04-04,-,,,,,2
671,187,1,2,ABOGADO,-,1994-07-22,1000-94-R-UNA,,,,,2
672,187,1,3,MAGISTER SCIENTIAE EN GESTION GUBERNAMENTAL Y DESARROLLO EMPRESARIAL,-,2008-02-15,0229-2008-R-UNA,,,,,2
673,187,1,2,CONTADOR PUBLICO,-,1979-04-25,-,,,,,2
674,187,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1978-04-18,-,,,,,2
675,187,1,4,Doctoris Scientiae en Derecho,-,2019-08-26,2249-2019-R-UNA,,,,,2
676,183,1,3,MAGISTER SCIENTIAE,AUDITORIA Y TRIBUTACION,2003-01-24,0121-2003-R-UNA,,,,,2
677,183,13,4,DOCTOR EN DERECHO,-,2011-04-29,8239-2011-R-UAP,,,,,2
678,183,1,3,MAGISTER SCIENTIAE EN AUDITORIA Y TRIBUTACION,-,2001-11-23,1799-2001-R-UNA,,,,,2
679,183,6,2,ABOGADO,-,2005-06-23,457-2005-CU-UJCM,,,,,2
680,183,1,1,BACHILLER EN CIENCIAS JURIDICAS Y POLITICAS,-,1992-06-26,653-92-R-UNA,,,,,2
681,183,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1984-10-26,1440-84-R-UNA,,,,,2
682,183,1,2,CONTADOR PUBLICO,-,1986-05-02,2088-86-T-C-P-UNA,,,,,2
683,183,1,3,MAGISTER SCIENTAE EN AUDITORIA Y TRIBUTACION,-,2001-11-23,1799-2001-R-UNA,,,,,2
684,189,1,2,CONTADOR PUBLICO,-,1996-06-07,714-96-R-UNA,,,,,2
685,189,1,4,Grado de Doctoris Scientiae en: Contabilidad y Administración,-,2016-01-11,0036-2016-R-UNA,,,,,2
686,189,1,1,Bachiller en: Ciencias Contables,-,1989-05-19,326-89-R-UNA,,,,,2
687,189,1,3,MAGISTER SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,MENCION EN: ADMINISTRACION Y FINANZAS,2012-02-24,0345-2012-R-UNA,,,,,2
688,188,1,3,MAGISTER SCIENTIAE,AUDITORIA Y TRIBUTACION,2004-11-12,269-2004-R-UNA,,,,,2
689,188,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1978-11-30,-,,,,,2
690,188,1,2,CONTADOR PUBLICO,-,1982-03-12,-,,,,,2
691,188,18,4,DOCTOR EN ADMINISTRACION,-,2008-07-18,7192,,,,,2
692,191,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1994-06-03,712-94-R-UNA,,,,,2
693,191,1,2,CONTADOR PUBLICO,-,1996-06-07,714-96-R-UNA,,,,,2
694,191,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2016-01-11,0036-2016-R-UNA,,,,,2
695,191,40,3,MAGÍSTER EN FINANZAS CORPORATIVAS Y RIESGO FINANCIERO,-,2019-10-09,014/2019-GYT,,,,,2
696,191,1,3,MAGISTER SCIENTIAE EN GESTION EMPRESARIAL,-,2011-12-02,2439-2011-R-UNA,,,,,2
697,190,18,4,DOCTOR EN ADMINISTRACION,-,2004-07-19,9316,,,,,2
698,190,1,1,Bachiller en Ciencias Contables,-,1976-01-06,-,,,,,2
700,193,1,3,MAGISTER EN SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,AUDITORIA Y TRIBUTACION,2005-12-09,1566-2005-R-UNA,,,,,2
701,193,1,2,CONTADOR PUBLICO,-,1993-07-02,844-93-R-UNA,,,,,2
702,193,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1982-09-24,SR,,,,,2
703,193,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2017-02-10,0450-2017-R-UNA,,,,,2
704,194,1,2,CONTADOR PUBLICO,-,2004-05-14,829-2004-R-UNA,,,,,2
705,194,1,1,BACHILLER EN CIENCIAS CONTABLES,-,2002-10-11,1749-2002-R-UNA,,,,,2
706,194,1,3,"Magíster Scientiae en Economía, Mención: Marketing y Administración de Negocios",-,2020-11-06,1241-2020-R-UNA,,,,,2
707,195,1,1,BACHILLER EN CIENCIAS CONTABLES,-,2003-10-24,1897-2003-R-UNA,,,,,2
708,195,1,3,MAGISTER SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,MENCION: GESTION EMPRESARIAL,2008-02-15,0228-2008-R-UNA,,,,,2
709,195,1,2,CONTADOR PUBLICO,-,2004-05-28,940-2004-R-UNA,,,,,2
710,195,1,4,DOCTORIS SCIENTIAE EN CONTABILIDAD Y ADMINISTRACION,-,2012-07-13,1424-2012-R-UNA,,,,,2
711,192,1,3,MAGISTER SCIENTIAE EN GESTION GUBERNAMENTAL Y DESARROLLO EMPRESARIAL,-,2006-02-10,0219-2006-R-UNA,,,,,2
712,192,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1979-01-17,-,,,,,2
713,192,1,2,CONTADOR PUBLICO,-,1980-11-14,-,,,,,2
714,192,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2016-01-11,0036-2016-R-UNA,,,,,2
715,197,35,3,MAESTRO EN ADMINISTRACION,-,2007-04-27,0297-2007-CU-UIGV,,,,,2
716,197,10,4,DOCTOR EN ADMINISTRACION (DBA),-,2014-12-19,RCU 566-2014,,,,,2
717,198,1,2,CONTADOR PUBLICO,-,1994-01-28,-,,,,,2
718,198,1,3,MAGISTER SCIENTIAE EN AUDITORIA Y TRIBUTACION,-,2006-12-29,2694-2006-R-UNA,,,,,2
719,198,19,2,ABOGADA,-,2008-08-29,185-08-CU-R-UANCV,,,,,2
720,198,19,1,BACHILLER EN DERECHO,-,2007-12-21,RES.278-07-CU-R-UANCV,,,,,2
721,198,1,4,DOCTORIS SCIENTIAE EN: CONTABILIDAD Y ADMINISTRACION,-,2014-12-31,4333-2014-R-UNA,,,,,2
722,198,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1991-10-18,1134-91-R-UNA,,,,,2
723,198,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1991-10-18,1134-91-R-UNA,,,,,2
724,200,1,5,SEGUNDA ESPECIALIZACION EN DIDACTICA UNIVERSITARIA,-,2011-07-08,1359-2011-R-UNA,,,,,2
725,200,51,4,DOCTORA EN EDUCACION,-,2017-05-06,0105-2017-UCV,,,,,2
726,200,1,4,DOCTORIS SCIENTIAE EN: CIENCIAS SOCIALES,-,2017-01-23,0144-2017-R-UNA,,,,,2
727,200,1,2,ASISTENTE SOCIAL,-,1975-12-09,-,,,,,2
728,200,1,1,BACHILLER EN SERVICIO SOCIAL,-,1975-03-25,-,,,,,2
729,200,52,3,TÍTULO DE MÁSTER LATINOAMERICANO EN TRABAJO SOCIAL CON ORIENTACIÓN EN GESTIÓN DEL DESARROLLO,-,,1731-2012-ANR,,,,,2
730,199,1,1,BACHILLER EN CIENCIAS CONTABLES,-,1992-08-14,888-92-R-UNA,,,,,2
731,199,1,2,CONTADOR PUBLICO,-,2005-12-09,1564-2005-R-UNA,,,,,2
732,199,1,3,Magíster Scientiae en Informática con Mención en: Informática Educativa,-,2022-02-08,0198-2022-R-UNA,,,,,2
733,202,1,2,TRABAJADORA SOCIAL,-,1976-07-08,-,,,,,2
734,202,1,1,BACHILLER EN TRABAJO SOCIAL,-,1976-06-15,-,,,,,2
735,202,1,3,MAGISTER SCIENTIAE EN: EDUCACION,CON MENCION EN: DIDACTICA DE LA EDUCACION SUPERIOR,2013-05-15,1514-2013-R-UNA,,,,,2
736,202,1,4,"Doctor en Ciencias Sociales, Gestión Pública y Desarrollo Territorial",-,2018-10-04,2552-2018-R-UNA,,,,,2
737,204,1,2,ASISTENTE SOCIAL,-,1975-02-07,-,,,,,2
738,203,10,2,LICENCIADO EN SOCIOLOGIA,-,1982-05-10,-,,,,,2
739,203,10,1,BACHILLER EN SOCIOLOGIA,-,1977-11-01,-,,,,,2
740,203,40,3,MAGÍSTER EN SOCIOLOGÍA,-,2017-05-31,165/2017,,,,,2
741,203,54,4,GRADO ACADÉMICO DE DOCTOR EN DEMOGRAFÍA - COMPONENTES DE LA DINÁMICA POBLACIONAL,-,1995-03-24,RESOLUCIÓN DE RECONOCIMIENTO Nº 3921-2017-SUNEDU-02-15-02,,,,,2
742,209,1,1,BACHILLER EN TRABAJO SOCIAL,-,1992-07-31,-,,,,,2
743,209,1,2,TRABAJADORA SOCIAL,-,1993-02-05,-,,,,,2
744,209,10,5,SEGUNDA ESPECIALIDAD EN: GENERO Y PROMOCION DE LA FAMILIA,-,2008-08-08,RCU 524-2008,,,,,2
745,209,48,3,MAGISTER EN SALUD PUBLICA,-,2010-12-16,4306-CU-2010,,,,,2
746,209,48,4,DOCTORA EN CIENCIAS SOCIALES,-,2016-05-18,6024-CU-2016,,,,,2
747,205,1,2,ASISTENTA SOCIAL,-,1975-11-27,-,,,,,2
748,205,1,1,BACHILLER EN SERVICIO SOCIAL,-,1975-01-14,-,,,,,2
749,205,1,4,"Doctoris Scientiae en Ciencias Sociales, Gestión Pública y Desarrollo Territorial",-,2024-09-16,2559-2024-R-UNA,,,,,2
750,205,55,3,TÍTULO DE MAGISTER SCIENTIARUM (DESARROLLO RURAL),-,1983-05-05,349-95-ANR,,,,,2
751,210,1,3,MAGISTER SCIENTIAE EN CIENCIAS SOCIALES,CON MENCION EN: PROMOCION DEL DESARROLLO,2011-12-30,2689-2011-R-UNA,,,,,2
752,210,1,2,TRABAJADORA SOCIAL,-,2000-02-04,0097-2000-R-UNA,,,,,2
753,210,19,4,DOCTOR EN EDUCACION,-,2016-04-29,0071-2016-UANCV-CU-R,,,,,2
754,210,1,1,BACHILLER EN TRABAJO SOCIAL,-,1997-09-19,1260-97-R-UNA,,,,,2
755,201,1,1,BACHILLER EN SERVICIO SOCIAL,-,1974-10-22,-,,,,,2
756,201,1,2,TRABAJADORA SOCIAL,-,1976-07-12,-,,,,,2
757,201,1,3,MAGISTER SCIENTIAE EN EDUCACION,MENCION EN: DIDACTICA DE LA EDUCACION SUPERIOR,2014-09-04,3062-2014-R-UNA,,,,,2
758,201,56,4,DOCTORA EN EDUCACIÓN,-,2019-12-13,0401-2019-UCV,,,,,2
759,208,35,2,LICENCIADO EN TRABAJO SOCIAL,-,1992-03-18,-,,,,,2
760,208,1,3,MAGISTER SCIENTIAE EN GESTION DE PROGRAMAS SOCIALES,-,2010-09-17,1977-2010-R-UNA,,,,,2
761,208,1,4,"Doctor en Ciencias Sociales, Gestión Pública y Desarrollo Territorial",-,2018-06-06,1473-2018-R-UNA,,,,,2
762,208,35,1,BACHILLER EN TRABAJO SOCIAL,-,1991-07-09,-,,,,,2
763,206,22,3,MAGISTER EN POLITICA SOCIAL,-,2010-01-26,05735-R-09,,,,,2
764,206,1,4,Doctoris Scientiae en Economía y Gestión,-,2019-07-10,1688-2019-R-UNA,,,,,2
765,206,1,2,TRABAJADORA SOCIAL,-,1989-10-06,948-89-R-UNA,,,,,2
766,206,1,1,BACHILLER EN TRABAJO SOCIAL,-,1986-10-03,1092-86-R-UNA,,,,,2
767,207,1,2,TRABAJADORA SOCIAL,-,1990-12-28,1535-90-R-UNA,,,,,2
768,207,1,1,BACHILLER EN TRABAJO SOCIAL,-,1989-08-11,741/89-R-UNA,,,,,2
770,207,48,4,DOCTORA EN CIENCIAS SOCIALES,-,2020-03-11,7335-CU-2020,,,,,2
771,212,1,2,Trabajadora Social,-,1992-12-30,1607-92-R-UNA,,,,,2
772,212,1,1,Bachiller en Trabajo Social,-,1987-09-18,1248-87-R-UNA,,,,,2
773,211,1,3,MAGISTER SCIENTIAE EN CIENCIAS SOCIALES,MENCION PROMOCION DEL DESARROLLO,2006-07-27,1565-2006-R-UNA,,,,,2
774,211,1,1,BACHILLER EN TRABAJO SOCIAL,-,1993-07-02,850-93-R-UNA,,,,,2
775,211,1,2,TRABAJADORA SOCIAL,-,1994-09-09,1335-94-R-UNA,,,,,2
776,211,1,4,DOCTORIS SCIENTIAE EN ECONOMIA Y GESTION,-,2010-09-17,1796-2010-R-UNA,,,,,2
777,213,1,1,BACHILLER EN TRABAJO SOCIAL,-,1988-11-25,1050-88-R-UNA,,,,,2
778,213,1,2,TRABAJADORA SOCIAL,-,1991-02-01,137-91-R-UNA,,,,,2
779,213,19,3,MAGISTER EN ADMINISTRACIÓN,GERENCIA DE SERVICIOS DE SALUD,2015-06-19,106-2015-UANCV-CU-R,,,,,2
780,213,56,4,DOCTORA EN ADMINISTRACIÓN DE LA EDUCACIÓN,-,2019-07-15,0218-2019-UCV,,,,,2
781,215,1,3,MAGISTER SCIENTIAE EN EDUCACION,CON MENCION EN: DIDACTICA DE LA EDUCACION SUPERIOR,2013-10-14,3048-2013-R-UNA,,,,,2
782,215,48,1,BACHILLER EN TRABAJO SOCIAL,-,1992-01-16,1679-CU-1999,,,,,2
783,215,48,2,ASISTENTA SOCIAL,-,1993-01-14,1679-CU-1999,,,,,2
784,215,51,4,DOCTORA EN ADMINISTRACION DE LA EDUCACION,-,2015-03-16,0137-2015-UCV,,,,,2
785,214,1,2,TRABAJADORA SOCIAL,-,1996-02-09,119-96-R-UNA,,,,,2
786,214,1,3,MAGISTER SCIENTIAE EN CIENCIAS SOCIALES,MENCION: EVALUACION DE PROGRAMAS SOCIALES,2013-02-07,0482-2013-R-UNA,,,,,2
787,214,1,1,BACHILLER EN TRABAJO SOCIAL,-,1993-07-02,845-93-R-UNA,,,,,2
788,214,51,4,DOCTORA EN ADMINISTRACION DE LA EDUCACION,-,2015-03-16,0137-2015-UCV,,,,,2
789,217,35,3,MAESTRO EN INVESTIGACION Y DOCENCIA UNIVERSITARIA,-,2010-03-09,0203-2010-CU-UIGV,,,,,2
790,217,35,2,MAESTRO EN INVESTIGACION Y DOCENCIA UNIVERSITARIA,-,2010-03-09,0203-2010-CU-UIGV,,,,,2
791,217,1,1,BACHILLER EN TRABAJO SOCIAL,-,1998-01-02,2043-97-R-UNA,,,,,2
792,217,57,4,DOCTOR,EN CIENCIAS DE LA EDUCACION,2012-01-17,3196-2011-R-UNE,,,,,2
793,217,1,2,TRABAJADORA SOCIAL,-,2000-02-04,0097-2000-R-UNA,,,,,2
794,216,1,3,Magíster Scientiae en Economía con Mención en Política y Gerencia Social,-,2018-09-05,2270-2018-R-UNA,,,,,2
795,216,1,4,Doctor en Administración,-,2020-01-29,0138-2020-R-UNA,,,,,2
796,216,1,2,TRABAJADORA SOCIAL,-,1993-02-05,-,,,,,2
797,216,1,1,BACHILLER EN TRABAJO SOCIAL,-,1991-11-29,1375-91-R-UNA,,,,,2
798,220,1,2,Enfermera,-,1980-05-09,-,,,,,2
799,220,1,1,Bachiller en Enfermería,-,1979-01-30,-,,,,,2
800,220,58,3,MAESTRO EN ADMINISTRACION DE SALUD,-,1991-01-16,-,,,,,2
801,219,48,1,BACHILLER EN CIENCIAS DE ENFERMERIA,-,,1679-CU-1999,,,,,2
802,219,48,2,LICENCIADA EN ENFERMERIA,-,,1679-CU-1999,,,,,2
803,219,61,3,GRADO DE  MAGÍSTER  EN ENFERMERÍA EN EL ÁREA DE CONCENTRACIÓN ,-,1988-11-07,008-2007-ANR,,,,,2
804,219,61,4,"GRADO DE DOCTORA EN ENFERMERÍA ÁREA DE CONCENTRACIÓN: FILOSOFÍA, SALUD Y SOCIEDAD",-,2014-02-28,1342,,,,,2
805,218,10,5,SEGUNDA ESPECIALIDAD EN GENERO Y PROMOCION DE LA FAMILIA,-,2008-02-22,RCU 037-2008,,,,,2
806,218,1,2,TRABAJADORA SOCIAL,-,2001-08-17,1222-2001-R-UNA,,,,,2
807,218,1,1,BACHILLER EN TRABAJO SOCIAL,-,1999-07-23,1239-1999-R-UNA,,,,,2
808,218,1,4,Doctor en Administración,-,2021-03-08,0426-2021-R-UNA,,,,,2
809,218,18,3,MAESTRA EN ADMINISTRACION Y GERENCIA SOCIAL,-,2006-12-20,3656,,,,,2
810,222,35,3,MAESTRA EN ADMINISTRACION DE LA EDUCACION,-,1996-07-04,-,,,,,2
811,222,1,5,SEGUNDA ESPECIALIZACION EN PLANIFICACION Y ADMINISTRACION DE SERVICIO DE SALUD,-,2010-01-22,0077-2010-R-UNA,,,,,2
812,222,10,4,DOCTOR EN CIENCIAS: SALUD COLECTIVA,-,2012-04-13,RCU 138-2012,,,,,2
813,222,1,1,BACHILLER EN ENFERMERIA,-,1977-10-11,-,,,,,2
814,222,1,2,ENFERMERA,-,1978-09-29,-,,,,,2
815,221,35,3,MAESTRA EN ADMINISTRACION DE LA EDUCACION,-,1998-07-06,347-98-RUIGV,,,,,2
816,221,1,4,Doctoris Scientiae en Administración,-,2021-08-24,1528-2021-R-UNA,,,,,2
817,221,1,2,ENFERMERA,-,1980-03-14,-,,,,,2
818,221,1,1,BACHILLER EN ENFERMERIA,-,1979-04-04,-,,,,,2
819,223,35,3,MAESTRA EN ADMINISTRACION DE LA EDUCACION,-,1998-07-06,347-98-RUIGV,,,,,2
820,223,1,1,BACHILLER EN EFERMERIA,-,1976-08-20,-,,,,,2
821,223,1,2,ENFERMERA,-,1976-08-20,-,,,,,2
822,224,35,4,DOCTOR EN EDUCACION,-,2007-11-19,1056-2007-CU-UIGV,,,,,2
823,224,35,3,MAESTRA EN ADMINISTRACION DE LA EDUCACION,-,1997-01-20,-,,,,,2
824,224,1,1,BACHILLER EN ENFERMERIA,-,1985-12-27,1915-85-R-UNA,,,,,2
825,224,1,2,ENFERMERA,-,1975-02-12,-,,,,,2
826,225,35,3,MAESTRA EN ADMINISTRACION DE LA EDUCACION,-,1998-07-06,347-98-RUIGV,,,,,2
827,225,1,1,BACHILLER EN ENFERMERIA,-,1979-01-30,-,,,,,2
828,225,1,2,ENFERMERA,-,1981-09-25,-,,,,,2
829,225,62,3,GRADO DE MAESTRA EN INVESTIGACIÓN DE SERVICIOS DE SALUD,-,1997-11-27,1231-98-ANR,,,,,2
830,225,63,4,"CERTIFICAR, SÓLO PARA EL USO EN LA DOCENCIA UNIVERSITARIA EL DIPLOMA DE DOCTOR EN CIENCIAS",-,2005-02-28,284-2004-ANR,,,,,2
831,226,1,2,Enfermera,-,1978-09-29,-,,,,,2
832,226,1,1,Bachiller en Enfermería,-,1977-10-11,-,,,,,2
833,226,64,3,TÍTULO DE MAGÍSTER EN SALUD PÚBLICA,-,1997-05-23,RESOLUCIÓN Nº 000812-2020-SUNEDU-02-15-02,,,,,2
834,229,1,3,MAGISTER SCIENTIAE EN SALUD PUBLICA,-,2006-11-24,2407-2006-R-UNA,,,,,2
835,229,1,2,ENFERMERO,-,1974-09-30,-,,,,,2
836,229,1,5,SEGUNDA ESPECIALIZACION EN GERENCIA Y GESTION DE SERVICIOS DE SALUD,-,2010-05-21,1058-2010-R-UNA,,,,,2
837,228,1,2,ENFERMERA,-,1988-01-13,0031-88-R-UNA,,,,,2
838,228,1,1,BACHILLER EN ENFERMERIA,-,1986-11-14,1381-86-R-UNA,,,,,2
839,228,23,3,MAESTRO EN ENFERMERIA,-,2003-04-08,396-2003-CU-R-USMP,,,,,2
840,228,1,5,SEGUNDA ESPECIALIZACION EN: PROMOCION DE LA SALUD,-,2014-01-16,0122-2014-R-UNA,,,,,2
841,228,18,4,DOCTORA EN SALUD PÚBLICA,-,2020-02-24,7536-2020-CU-UNFV,,,,,2
842,227,1,5,SEGUNDA ESPECIALIZACION EN GERENCIA Y GESTION DE SERVICIOS DE SALUD,-,2010-08-27,1801-2010-R-UNA,,,,,2
843,227,10,4,DOCTOR EN CIENCIAS: SALUD PUBLICA,-,2013-05-17,RCU 232-2013,,,,,2
844,227,1,1,BACHILLER EN ENFERMERIA,-,1986-10-03,-,,,,,2
845,227,1,2,ENFERMERA,-,1987-09-18,1175-87-R-UNA,,,,,2
846,227,10,5,SEGUNDA ESPECIALIDAD EN EDUCACION SEXUAL Y AFECTIVIDAD,-,2008-08-08,RCU 524-2008,,,,,2
847,227,65,3,GRADO DE MAESTRA EN INVESTIGACIÓN DE SERVICIOS DE SALUD,-,,1511-2003-ANR,,,,,2
848,230,1,3,MAGISTER SCIENTIAE EN SALUD PUBLICA,-,2007-03-23,0371-2007-R-UNA,,,,,2
849,230,1,2,ENFERMERA,-,1988-01-15,-,,,,,2
850,230,1,1,BACHILLER EN ENFERMERIA,-,1986-12-31,1721-86-R-UNA,,,,,2
851,230,48,4,DOCTORA EN CIENCIAS DE LA SALUD,-,2013-04-25,4982-CU-2013,,,,,2
852,232,1,5,TITULO DE SEGUNDA ESPECIALIZACION PROFESIONAL DE: ESPECIALISTA EN PLANIFICACIÓN Y ADMINISTRACIÓN DE SERVICIOS DE SALUD,-,2005-03-18,922-2005-P-CTG-UNA,,,,,2
853,232,13,4,DOCTOR EN CIENCIAS DE LA SALUD,-,2015-01-16,14213-2015-R-UAP,,,,,2
854,232,1,1,BACHILLER EN ENFERMERIA,-,1977-10-11,-,,,,,2
855,232,1,2,ENFERMERO,-,1978-09-15,-,,,,,2
856,232,13,3,MAESTRO EN FISIOLOGIA,-,2009-10-29,6322-2009-R-UAP,,,,,2
857,231,22,3,MAGISTER EN ENFERMERIA,DOCENCIA EN ENFERMERIA,2007-05-17,01710-R-2007,,,,,2
